Data Source,ID,Post link,List date,Sold date,Days until sold,Price,Address,Status,Area,Bedrooms,Bathrooms,Latitude,Longitude
https://www.realtor.com/,3193319849,https://www.realtor.com/realestateandhomes-detail/1217-148th-St_Whitestone_NY_11357_M31933-19849,2024-05-15,Not sold yet,Not sold yet,1149000,"12-17 148th St, Whitestone, NY 11357",FOR_SALE,,4,2.5,40.789453,-73.817434
https://www.realtor.com/,4624311222,https://www.realtor.com/realestateandhomes-detail/19835-30th-Ave_Flushing_NY_11358_M46243-11222,2024-06-27,Not sold yet,Not sold yet,848888,"198-35 30 Ave, Flushing, NY 11358",FOR_SALE,,3,1,40.77013,-73.791159
https://www.realtor.com/,4800014363,https://www.realtor.com/realestateandhomes-detail/364-Clarke-Ave_Staten-Island_NY_10306_M48000-14363,2024-05-02,Not sold yet,Not sold yet,835000,"364 Clarke Ave, Staten Island, NY 10306",FOR_SALE,1677.0,5,3,40.568888,-74.143343
https://www.realtor.com/,4105354450,https://www.realtor.com/realestateandhomes-detail/25-Copperleaf-Ter_Staten-Island_NY_10304_M41053-54450,2024-05-06,Not sold yet,Not sold yet,2849000,"25 Copperleaf Ter, Staten Island, NY 10304",FOR_SALE,8333.0,4,7,40.586114,-74.107566
https://www.realtor.com/,3143809003,https://www.realtor.com/realestateandhomes-detail/971-Schenck-Ave_Brooklyn_NY_11207_M31438-09003,2023-08-03,Not sold yet,Not sold yet,479900,"971 Schenck Ave, Brooklyn, NY 11207",FOR_SALE,1088.0,3,1.5,40.656776,-73.880308
https://www.realtor.com/,4283876688,https://www.realtor.com/realestateandhomes-detail/12219-Linden-Blvd_South-Ozone-Park_NY_11420_M42838-76688,2024-06-17,Not sold yet,Not sold yet,799000,"122-19 Linden Blvd, South Ozone Park, NY 11420",FOR_SALE,1304.0,3,1.5,40.679948,-73.817206
https://www.realtor.com/,4496506709,https://www.realtor.com/realestateandhomes-detail/7813-79th-St_Ridgewood_NY_11385_M44965-06709,2024-04-05,Not sold yet,Not sold yet,849000,"78-13 79th St, Glendale, NY 11385",FOR_SALE,1200.0,3,2.5,40.704337,-73.871089
https://www.realtor.com/,9012892990,https://www.realtor.com/realestateandhomes-detail/94-Monahan-Ave_Staten-Island_NY_10314_M90128-92990,2023-09-29,Not sold yet,Not sold yet,859000,"94 Monahan Ave, Staten Island, NY 10314",FOR_SALE,2078.0,3,3.5,40.588458,-74.149956
https://www.realtor.com/,3066011013,https://www.realtor.com/realestateandhomes-detail/857-Linden-Blvd_Brooklyn_NY_11203_M30660-11013,2024-01-18,Not sold yet,Not sold yet,599999,"857 Linden Blvd, Brooklyn, NY 11203",FOR_SALE,,3,1.5,40.654344,-73.926173
https://www.realtor.com/,4702055285,https://www.realtor.com/realestateandhomes-detail/10720-81st-St_Ozone-Park_NY_11417_M47020-55285,2024-06-24,Not sold yet,Not sold yet,759000,"107-20 81st St, Ozone Park, NY 11417",FOR_SALE,1280.0,6,2.5,40.675647,-73.856032
https://www.realtor.com/,4312397577,https://www.realtor.com/realestateandhomes-detail/1141-79th-St_Brooklyn_NY_11228_M43123-97577,2024-01-17,Not sold yet,Not sold yet,945000,"1141 79th St, Brooklyn, NY 11228",FOR_SALE,1648.0,3,1.5,40.620188,-74.012924
https://www.realtor.com/,4787266965,https://www.realtor.com/realestateandhomes-detail/356-Hollywood-Ave_Little-Neck_NY_11363_M47872-66965,2024-06-21,Not sold yet,Not sold yet,1588000,"356 Hollywood Ave, Douglaston, NY 11363",FOR_SALE,2230.0,6,4.5,40.776178,-73.74672
https://www.realtor.com/,9222153102,https://www.realtor.com/realestateandhomes-detail/535-Richard-Ave_Staten-Island_NY_10309_M92221-53102,2024-02-26,Not sold yet,Not sold yet,1218000,"535 Richard Ave, Staten Island, NY 10309",FOR_SALE,2700.0,4,2.5,40.504885,-74.223503
https://www.realtor.com/,4161700401,https://www.realtor.com/realestateandhomes-detail/7949-209th-St_Oakland-Gardens_NY_11364_M41617-00401,2024-06-23,Not sold yet,Not sold yet,1288000,"79-49 209th St, Hollis Hills, NY 11364",FOR_SALE,2142.0,5,2,40.733474,-73.761631
https://www.realtor.com/,4229051486,https://www.realtor.com/realestateandhomes-detail/202-Watchogue-Rd_Staten-Island_NY_10314_M42290-51486,2024-03-06,Not sold yet,Not sold yet,649000,"202 Watchogue Rd, Staten Island, NY 10314",FOR_SALE,950.0,3,2,40.615571,-74.136136
https://www.realtor.com/,3658412629,https://www.realtor.com/realestateandhomes-detail/6136-Amboy-Rd_Staten-Island_NY_10309_M36584-12629,2024-05-24,Not sold yet,Not sold yet,799000,"6136 Amboy Rd, Staten Island, NY 10309",FOR_SALE,1563.0,2,1.5,40.52413,-74.210819
https://www.realtor.com/,9255441977,https://www.realtor.com/realestateandhomes-detail/106-Monahan-Ave_Staten-Island_NY_10314_M92554-41977,2023-09-29,Not sold yet,Not sold yet,839000,"106 Monahan Ave, Staten Island, NY 10314",FOR_SALE,2148.0,3,3.5,40.588671,-74.150355
https://www.realtor.com/,9059975326,https://www.realtor.com/realestateandhomes-detail/100-Monahan-Ave_Staten-Island_NY_10314_M90599-75326,2023-09-29,Not sold yet,Not sold yet,839000,"100 Monahan Ave, Staten Island, NY 10314",FOR_SALE,2078.0,3,3.5,40.588563,-74.150141
https://www.realtor.com/,3847214673,https://www.realtor.com/realestateandhomes-detail/2644-213th-St_Bayside_NY_11360_M38472-14673,2024-06-29,Not sold yet,Not sold yet,1598000,"26-44 213th St, Bayside, NY 11360",FOR_SALE,1350.0,3,3,40.777061,-73.776787
https://www.realtor.com/,9459452146,https://www.realtor.com/realestateandhomes-detail/525-Broome-St-Apt-6_New-York_NY_10013_M94594-52146,2024-04-21,Not sold yet,Not sold yet,5750000,"525 Broome St Apt 6, New York, NY 10013",FOR_SALE,,4,3.5,40.723797,-74.004066
